name,type,count
majorvonreg,pilot,15
holo,pilot,28
ember,pilot,24
firstorderprovocateur,pilot,36
midnight,pilot,14
commandermalarus,pilot,17
scorch,pilot,11
static,pilot,10
longshot,pilot,10
omegasquadronace,pilot,15
muse,pilot,11
tn3465,pilot,11
zetasquadronpilot,pilot,16
epsilonsquadroncadet,pilot,11
lieutenantrivas,pilot,13
null,pilot,13
quickdraw,pilot,16
backdraft,pilot,24
omegasquadronexpert,pilot,22
zetasquadronsurvivor,pilot,24
lieutenantlehuse,pilot,25
captainphasma,pilot,22
blackout,pilot,10
kyloren,pilot,3
firstordertestpilot,pilot,11
recoil,pilot,13
avenger,pilot,19
sienarjaemusengineer,pilot,13
rush,pilot,15
lieutenantdormitz,pilot,16
majorstridan,pilot,22
pettyofficerthanisson,pilot,19
starkillerbasepilot,pilot,23
lieutenanttavson,pilot,18
captaincardinal,pilot,15
lieutenantkarsabi,pilot,10
majorvynder,pilot,18
nusquadronpilot,pilot,10
rhosquadronpilot,pilot,9
captainkagi,pilot,8
coloneljendon,pilot,17
lieutenantsai,pilot,11
omicrongrouppilot,pilot,12
baronoftheempire,pilot,10
grandinquisitor,pilot,5
inquisitor,pilot,9
seventhsister,pilot,10
fifthbrother,pilot,10
darthvader,pilot,9
maarekstele,pilot,8
stormsquadronace,pilot,5
tempestsquadronpilot,pilot,10
vedfoslo,pilot,10
zertikstrom,pilot,6
doubleedge,pilot,15
lieutenantkestal,pilot,16
onyxsquadronscout,pilot,10
sienarspecialist,pilot,15
deathrain,pilot,10
redline,pilot,13
cutlasssquadronpilot,pilot,4
colonelvessery,pilot,2
countessryad,pilot,4
deltasquadronpilot,pilot,4
onyxsquadronace,pilot,6
rexlerbrath,pilot,5
alphasquadronpilot,pilot,14
sabersquadronace,pilot,9
soontirfel,pilot,5
turrphennir,pilot,9
howlrunner,pilot,1
maulermithel,pilot,4
nightbeast,pilot,5
scourgeskutu,pilot,3
wampa,pilot,3
academypilot,pilot,4
blacksquadronace,pilot,4
delmeeko,pilot,4
gideonhask,pilot,5
idenversio,pilot,8
obsidiansquadronpilot,pilot,9
seynmarana,pilot,7
valenrudor,pilot,4
echo,pilot,2
whisper,pilot,7
imdaartestpilot,pilot,8
sigmasquadronace,pilot,9
vizier,pilot,11
captainferoph,pilot,10
majorvermeil,pilot,7
scarifbasepilot,pilot,15
deathfire,pilot,12
captainjonus,pilot,10
gammasquadronace,pilot,16
majorrhymer,pilot,6
scimitarsquadronpilot,pilot,9
tomaxbren,pilot,8
countdown,pilot,8
duchess,pilot,7
puresabacc,pilot,4
blacksquadronscout,pilot,13
planetarysentinel,pilot,10
vagabond,pilot,6
captainoicunn,pilot,9
patrolleader,pilot,14
rearadmiralchiraneau,pilot,4
mornakee,pilot,10
sinker,pilot,17
jag,pilot,13
oddball-arc170starfighter,pilot,17
wolffe,pilot,14
104thbattalionpilot,pilot,17
squadsevenveteran,pilot,12
shadowsquadronveteran,pilot,15
anakinskywalker-btlbywing,pilot,10
r2d2,pilot,18
oddball-btlbywing,pilot,18
matchstick,pilot,14
broadside,pilot,15
goji,pilot,12
redsquadronbomber,pilot,14
jediknight,pilot,13
obiwankenobi,pilot,12
plokoon,pilot,11
saeseetiin,pilot,11
macewindu,pilot,11
anakinskywalker,pilot,10
ahsokatano,pilot,7
barrissoffee,pilot,13
luminaraunduli,pilot,14
anakinskywalker-nabooroyaln1starfighter,pilot,20
ricolie,pilot,19
padmeamidala,pilot,24
dineeellberger,pilot,16
bravoflightofficer,pilot,29
naboohandmaiden,pilot,20
kickback,pilot,17
oddball,pilot,13
swoop,pilot,27
axe,pilot,17
tucker,pilot,14
bluesquadronprotector,pilot,21
goldsquadrontrooper,pilot,27
bladesquadronveteran,pilot,16
bluesquadronpilot,pilot,4
braylenstramm,pilot,11
tennumb,pilot,4
ginamoonsong,pilot,8
garvendreis,pilot,3
ibtisam,pilot,11
norrawexley,pilot,5
sharabey,pilot,5
zeborrelios,pilot,12
ezrabridger,pilot,12
herasyndulla,pilot,6
sabinewren,pilot,10
kashyyykdefender,pilot,6
lowhhrick,pilot,13
wullffwarro,pilot,11
dutchvander,pilot,8
evaanverlaine,pilot,6
goldsquadronveteran,pilot,4
graysquadronbomber,pilot,1
hortonsalm,pilot,7
norrawexley-btla4ywing,pilot,9
esegetuketu,pilot,17
mirandadoni,pilot,14
wardensquadronpilot,pilot,10
corranhorn,pilot,13
gavindarklighter,pilot,5
knavesquadronescort,pilot,13
roguesquadronescort,pilot,6
janors,pilot,13
kylekatarn,pilot,14
rebelscout,pilot,15
roarkgarnet,pilot,10
chewbacca,pilot,5
hansolo-modifiedyt1300lightfreighter,pilot,6
landocalrissian-modifiedyt1300lightfreighter,pilot,5
outerrimsmuggler,pilot,11
leiaorgana,pilot,4
arvelcrynyd,pilot,12
greensquadronpilot,pilot,9
jakefarrell,pilot,6
phoenixsquadronpilot,pilot,11
zeborrelios-sheathipedeclassshuttle,pilot,9
ap5,pilot,9
ezrabridger-sheathipedeclassshuttle,pilot,7
fennrau-sheathipedeclassshuttle,pilot,10
biggsdarklighter,pilot,2
bluesquadronescort,pilot,6
cavernangelszealot,pilot,3
edriotwotubes,pilot,4
garvendreis-t65xwing,pilot,3
jekporkins,pilot,1
kullbeesperado,pilot,5
leevantenza,pilot,2
lukeskywalker,pilot,1
redsquadronveteran,pilot,5
thanekyrell,pilot,1
wedgeantilles,pilot,3
zeborrelios-tielnfighter,pilot,13
captainrex,pilot,13
ezrabridger-tielnfighter,pilot,11
sabinewren-tielnfighter,pilot,7
benthictwotubes,pilot,7
bluesquadronscout,pilot,2
bodhirook,pilot,2
cassianandor,pilot,2
hefftobber,pilot,1
magvayarro,pilot,4
partisanrenegade,pilot,4
sawgerrera,pilot,0
k2so,pilot,3
chopper,pilot,6
herasyndulla-vcx100lightfreighter,pilot,6
kananjarrus,pilot,6
lothalrebel,pilot,8
alexsandrkallus,pilot,7
leebo,pilot,5
dashrendar,pilot,7
wildspacefringer,pilot,11
airencracken,pilot,12
banditsquadronpilot,pilot,6
lieutenantblount,pilot,22
talasquadronpilot,pilot,21
colossusstationmechanic,pilot,33
jarekyeager,pilot,21
kazudaxiono,pilot,24
r1j5,pilot,22
cobaltsquadronbomber,pilot,11
cat,pilot,8
vennie,pilot,3
benteene,pilot,3
edonkappehl,pilot,6
finchdallow,pilot,10
paigetico,pilot,11
bb8,pilot,23
rosetico,pilot,18
vimoradi,pilot,25
finn,pilot,20
covanell,pilot,21
pammichnerrogoode,pilot,27
nodinchavdri,pilot,19
logisticsdivisionpilot,pilot,24
lulolampar,pilot,11
tallissanlintra,pilot,4
zaribangel,pilot,10
greersonnel,pilot,15
greensquadronexpert,pilot,11
bluesquadronrecruit,pilot,8
zizitlo,pilot,6
ronithblario,pilot,9
resistancesympathizer,pilot,14
chewbacca-scavengedyt1300,pilot,19
hansolo-scavengedyt1300,pilot,19
rey,pilot,11
poedameron,pilot,6
bluesquadronrookie,pilot,6
redsquadronexpert,pilot,6
blacksquadronace-t70xwing,pilot,7
elloasty,pilot,6
jophseastriker,pilot,7
karekun,pilot,8
lieutenantbastian,pilot,4
niennunb,pilot,3
jaycristubbs,pilot,5
jessikapava,pilot,4
temminwexley,pilot,8
ig88a,pilot,6
ig88b,pilot,6
ig88c,pilot,11
ig88d,pilot,8
crymorahgoon,pilot,15
drearenthal,pilot,9
hiredgun,pilot,11
kavil,pilot,14
freightercaptain,pilot,7
hansolo,pilot,5
l337,pilot,4
landocalrissian,pilot,10
autopilotdrone,pilot,12
l337-escapecraft,pilot,22
landocalrissian-escapecraft,pilot,15
outerrimpioneer,pilot,21
fennrau,pilot,5
joyrekkoff,pilot,4
kadsolus,pilot,2
oldteroch,pilot,6
skullsquadronpilot,pilot,6
zealousrecruit,pilot,7
bobafett,pilot,1
bountyhunter,pilot,2
emonazzameen,pilot,2
kathscarlet,pilot,4
koshkafrost,pilot,3
krassistrelix,pilot,4
4lom,pilot,13
gandfindsman,pilot,9
zuckuss,pilot,8
dacebonearm,pilot,13
palobgodalhi,pilot,8
spicerunner,pilot,6
torkilmux,pilot,8
contractedscout,pilot,6
dengar,pilot,4
manaroo,pilot,4
teltrevura,pilot,7
nomlumb,pilot,6
blacksunace,pilot,2
captainjostero,pilot,12
cartelmarauder,pilot,8
graz,pilot,7
talonbanecobra,pilot,9
viktorhel,pilot,5
asajjventress,pilot,4
ketsuonyo,pilot,5
sabinewren-lancerclasspursuitcraft,pilot,8
shadowporthunter,pilot,8
cartelexecutioner,pilot,8
dalanoberos,pilot,9
toranikulda,pilot,9
cartelspacer,pilot,4
genesisred,pilot,4
inaldra,pilot,2
laetinashera,pilot,3
quinnjast,pilot,5
serissu,pilot,5
sunnybounder,pilot,4
tansariipointveteran,pilot,3
g4rgorvm,pilot,6
ahhav,pilot,13
captainseevor,pilot,9
foremanproach,pilot,6
miningguildsurveyor,pilot,12
overseeryushyn,pilot,11
miningguildsentry,pilot,8
constablezuvio,pilot,11
jakkugunrunner,pilot,18
sarcoplank,pilot,14
unkarplutt,pilot,12
captainnym,pilot,8
lokrevenant,pilot,10
solsixxa,pilot,8
blacksunassassin,pilot,10
blacksunenforcer,pilot,9
dalanoberos-starviperclassattackplatform,pilot,8
guri,pilot,11
princexizor,pilot,7
bossk,pilot,3
lattsrazzi,pilot,10
moraloeval,pilot,11
trandoshanslaver,pilot,3
binayrepirate,pilot,22
blacksunsoldier,pilot,23
kaatoleeachos,pilot,14
ndrusuhlak,pilot,22
nashtahpup,pilot,1
bossk-z95af4headhunter,pilot,13
generalgrievous,pilot,19
wattambor,pilot,15
feethanottrawautopilot,pilot,18
captainsear,pilot,13
skakoanace,pilot,13
technounionbomber,pilot,15
bombardmentdrone,pilot,14
dbs404,pilot,13
baktoidprototype,pilot,13
separatistbomber,pilot,22
dbs32c,pilot,15
stalgasinhiveguard,pilot,6
sunfac,pilot,11
berwerkret,pilot,15
chertek,pilot,16
gorgol,pilot,8
petranakiarenaace,pilot,13
darthmaul,pilot,16
countdooku,pilot,19
darkcourier,pilot,18
066,pilot,20
tradefederationdrone,pilot,17
precisehunter,pilot,23
haorchallprototype,pilot,17
dfs081,pilot,21
separatistdrone,pilot,20
dfs311,pilot,16
chopper,upgrade,11
genius,upgrade,5
r2astromech,upgrade,55
r2d2,upgrade,9
r3astromech,upgrade,36
r4astromech,upgrade,26
r5astromech,upgrade,36
r5d8,upgrade,15
r5p8,upgrade,6
r5tk,upgrade,8
r5x3,upgrade,9
r2ha,upgrade,12
bb8,upgrade,11
bbastromech,upgrade,12
m9g8,upgrade,10
r2c4,upgrade,20
r4pastromech,upgrade,17
r4p17,upgrade,23
r4p44,upgrade,16
r2a6,upgrade,14
c110p,upgrade,15
r1j5,upgrade,8
heavylasercannon,upgrade,41
ioncannon,upgrade,60
jammingbeam,upgrade,49
tractorbeam,upgrade,48
autoblasters,upgrade,48
adaptiveshields,upgrade,0
boostedscanners,upgrade,0
optimizedpowercore,upgrade,0
tibannareserves,upgrade,0
agentoftheempire,upgrade,0
dreadnoughthunter,upgrade,0
firstorderelite,upgrade,0
veteranwingleader,upgrade,0
admiralozzel,upgrade,0
azmorigan,upgrade,0
captainneeda,upgrade,0
carlistrieekan,upgrade,0
jandodonna,upgrade,0
raymusantilles,upgrade,0
stalwartcaptain,upgrade,0
strategiccommander,upgrade,0
integratedsfoils,upgrade,70
os1arsenalloadout,upgrade,12
pivotwing,upgrade,25
servomotorsfoils,upgrade,36
xg1assaultconfiguration,upgrade,14
grapplingstruts,upgrade,42
delta7b,upgrade,26
calibratedlasertargeting,upgrade,22
landingstruts,upgrade,37
corsairrefit,upgrade,0
stabilizedsfoils,upgrade,18
chopper-crew,upgrade,8
zeborrelios,upgrade,3
000,upgrade,3
4lom,upgrade,1
admiralsloane,upgrade,4
agentkallus,upgrade,9
bazemalbus,upgrade,9
bobafett,upgrade,8
c3po,upgrade,6
cadbane,upgrade,7
captainphasma,upgrade,21
cassianandor,upgrade,10
chewbacca,upgrade,7
chewbacca-crew,upgrade,6
cienaree,upgrade,5
cikatrovizago,upgrade,5
darthvader,upgrade,9
deathtroopers,upgrade,5
directorkrennic,upgrade,6
emperorpalpatine,upgrade,1
freelanceslicer,upgrade,53
generalhux,upgrade,15
gnkgonkdroid,upgrade,61
grandinquisitor,upgrade,9
grandmofftarkin,upgrade,1
herasyndulla,upgrade,3
ig88d,upgrade,7
isbslicer,upgrade,8
informant,upgrade,43
jabbathehutt,upgrade,4
jynerso,upgrade,6
kananjarrus,upgrade,8
ketsuonyo,upgrade,2
kyloren,upgrade,12
l337,upgrade,9
landocalrissian-crew,upgrade,6
landocalrissian,upgrade,9
lattsrazzi,upgrade,6
leiaorgana,upgrade,11
magvayarro,upgrade,6
maul,upgrade,5
ministertua,upgrade,8
moffjerjerrod,upgrade,5
niennunb,upgrade,3
novicetechnician,upgrade,54
perceptivecopilot,upgrade,47
pettyofficerthanisson,upgrade,13
qira,upgrade,6
r2d2-crew,upgrade,7
sabinewren,upgrade,4
sawgerrera,upgrade,6
seasonednavigator,upgrade,47
seventhsister,upgrade,7
supremeleadersnoke,upgrade,10
tacticalofficer,upgrade,9
tobiasbeckett,upgrade,6
unkarplutt,upgrade,3
zuckuss,upgrade,6
c3po-crew,upgrade,9
hansolo-crew,upgrade,11
