What is your Vassal handle?,What is your Discord name (User#0000)?,Paste your new YASB Squad link here:,
Mu0n,Mu0nVassal#4658,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z320XW100WY315X125W101WY273X251W252W200WY312XWW200W&sn=Mu0n%20JTO&obs=coreasteroid5,gascloud1,gascloud2",
GreenDragoon,GreenDragoon,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z331X125WW2W135Y318X124WWY278XW214W200WY314XW233W200W&sn=Raphael%20Iselin%20JTO&obs=gascloud3,gascloud5,gascloud6",
pekka,pekka_rinne#0447,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z386X178WWY384XWW98WY384XWWW164Y262XWW&sn=Sam%20Page%20JTO&obs=,
RoninAround,RoninAround#5193,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z141XW45WW92W236Y144XW137WW83W69WW110W149WW8Y158X125WWWY249X115WY87XW137WWWWWW&sn=Matt%20Petit%20JTO&obs=,
Doratakus,"Crispus ""Doratakus"" Knight",https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z262XWWY289XWW180WWWWWY285X133WWW182WWY397XWWW182WW&sn=Crispus%20Knight%20JTO&obs=,
TLFJ,TLFJ#7286,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z161X119W240W136W101W104W139WWY218XWY167XWWWW164W162Y212XWWW&sn=Johnson%27s%20Jank%20Tank&obs=coreasteroid5,core2asteroid4,core2asteroid5",
blairbunke,blair#9396,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z263X115WWY265XWY264XWWY289XWWW183WW11WWY262XWW&sn=Blair%20JTO&obs=,
MJN248,MatsJn#0825,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z351XW186WWWW61W5WY231X117W2WW175WW171W102Y295XWWWWWW&sn=Mats%20Jonsson%20JTO&obs=,
Lonailan,Lonailan#6938,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z332XW113W6W134Y333XWWW234Y342XWWWWW164Y362XW137WWWWW&sn=J%C3%BCrgen%20M.%20JTO&obs=coreasteroid5,gascloud1,gascloud2",
SWGoldie,Goldie#7060,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z40X98WWWW93Y50X123W117WY20X136WWWW57W317WW104&sn=Ed%20Gold%20JTO&obs=,
antigrapist,Antigrapist#9267,"https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z324XW99W70W165W237Y306X117W222WW229Y327X234WWWW237Y344XWWWY279XWW&sn=%5BAntigrapist%20JTO%5D&obs=coreasteroid0,coreasteroid4,core2asteroid4",
Joel Springle,Joel Springle,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z209X132WW68W165Y182X166W164Y186X60W26W108Y222XW&sn=Joel%20Springle%20JTO&obs=gascloud1,gascloud2,gascloud3",
RelativeShoe,RelativeShoe,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z202X113W76WY177XWW100W164Y178X114WWY211XW82WW&sn=Dan%20Xuereb%20JTO&obs=coreasteroid0,core2asteroid0,core2asteroid2",
McDLT,McDLT_ca#7854,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z25XW137W135WWWWY13XW165Y80XWW46WWWY5XWWWW142&sn=jank%20tank%20rebell%20mcdlt&obs=,
XPav,XPav#0478,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z317X122W100WY342X124W135WWWWY359X203WW135WW5WWY321XW&sn=Alex%20Pavloff%20(XPav)%20JTO&obs=,
Reflex,Reflex#5086,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z244XWW188W245W174WW103W193Y231XWWW175WWWY377XWWWWWW&sn=Andrew%20Cox%20JTO&obs=coreasteroid5,core2asteroid4,core2asteroid5",
Josh,Josh#1589,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z216XWWWWWWW147Y167X112WWWWWY213XWW249Y178XWW&sn=Josh%20JTO&obs=,
Dragoon,dragoonkain#6338,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z141X206W45WWWY113XWWWWWWY129XWWWWWY97XW&sn=Brendon%20Osmann-Deyman%20JTO&obs=,
JediOswald,Jedi Oswald#1534,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z16XY391XWW10WWWW313Y15X106Y7XWWW142Y51X122WW&sn=Liam%20Lee%20JTO&obs=,
Armytuba,DBS404,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z351XWWWW54WWW109Y298X118WWW175W206W171W232Y256XW195WW175WWWY345XWWW&sn=Armytuba%20JTO&obs=,
