name,wins,byes,rank,faction,points,totalhealth,totalmainattack,totalagility,totalupgradecount,totaluselesscount,totaluselesscost,shipcount,handicap,avginitiative,url
Cormac Higgins,3,1,32,galacticrepublic,200,31,10,8,6,0,0,5,0,2.4,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z317XWW106Y362XW137W136WWWWY364XW138WW225WWWY323XWW234Y319XW&sn=Cormac%20Higgins%20JTO&obs=
Chris Burnett,3,1,32,rebelalliance,200,22,9,8,7,0,0,4,0,3.5,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z77XWW314WWWY55X116W99WY51XWWY49X69W46W109WW156&sn=Chris%20Burnett%20JTO&obs=
Jamal Ahmad,3,1,32,scumandvillainy,200,28,11,11,6,0,0,5,0,2.4,https://launch-bay-next.herokuapp.com/print?lbx='JTO%20squad%20'.200.3.0.(12.168.(12.648).(5.263)).(44.189.(6.270).(14.295).(1.235)).(44.186.(5.264)).(56.444).(39.208)
Greg Smith,3,1,32,rebelalliance,199,24,11,8,6,0,0,4,1,3.75,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z67X72WWWW167Y23XWWWWY27XW138WW7WWWY3XWW2WW142&sn=Unnamed%20Squadron&obs=
David Chabot,4,0,32,galacticrepublic,199,24,9,7,8,1,3,4,4,3.25,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z322XW240W226W234Y280XW37WWWY317X127WW249Y331XW240W214W&sn=David%20Chabot%20JTO&obs=
Paul Heaver,4,0,32,galacticempire,200,28,9,7,6,0,0,4,0,3.25,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z166X111WW28WWW162Y206X234WWWWWW166Y191XW234WWWWWWY225XW&sn=Paul%20Heaver%20JTO&obs=
Andreas Karlsson,4,0,32,scumandvillainy,199,26,11,9,7,1,1,4,2,3.25,"https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z83X116W113W232WWW94WW151Y129X256WWWWW236Y122XWWWWY303X&sn=Andreas%20Karlsson%20JTO&obs=coreasteroid3,coreasteroid5,core2asteroid4"
No Pickles,4,0,32,galacticrepublic,199,30,11,10,3,0,0,5,1,3.2,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z275XWWWY313XWW200WY321X101WY363XWWWWWY342XWW53WWW&sn=Janky%20Jedi&obs=
Niklas God,4,0,32,galacticempire,200,26,9,8,10,0,0,4,0,3.0,https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z172XW112W98Y166XW13WWWW162Y161XW111W136W101WW144W11Y190X138WWWW&sn=NiklasGod%20squad&obs=
Tommaso Loss,4,0,32,galacticrepublic,200,36,12,10,4,0,0,6,0,2.3333333333333335,"https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z362X122W138WWWW70WY364XW138WWWWWY321XWY320XWWY321XWY323XWW&sn=Random%20Squad&obs=coreasteroid0,core2asteroid0,core2asteroid2"
Quentin Keller,4,0,32,galacticempire,200,29,11,11,7,0,0,5,0,3.0,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z167XWW14WWWY172XWWY227X122W249Y208XW311WWW69W68WY204X128WWWWWWW&sn=Quentin%20Keller%20JTO&obs=coreasteroid0,core2asteroid0,core2asteroid2"
Stephen Parker,4,0,32,scumandvillainy,195,25,9,6,8,0,0,3,5,3.6666666666666665,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z144XW138W25W90W67WWWY148X132W112WWWY128XWWW109W160&sn=Stephen%20Parker%20JTO&obs=
Christopher Patrick,4,0,32,firstorder,198,20,10,10,6,0,0,4,2,3.75,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z259X318WWW113WY397XWWW182WWY382X125W206WWY384X115WWW&sn=Christopher%20Patrick%20JTO&obs=
Tim Horsburgh,4,0,32,resistance,198,26,10,8,5,0,0,4,2,2.5,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z348XWWY258XWW175WWWY244XWW191W192W174WWWY300XWWW206&sn=Tim%20Horsburgh%20JTO&obs=
Sebastien Ledieu ,4,0,32,firstorder,198,20,10,10,2,0,0,4,2,4.5,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z285X119WWWWWY383XWWWY382XWWWY243XWWW182WW&sn=Bibi%20JTO&obs=
Nobbie,4,0,32,resistance,199,22,10,10,6,0,0,4,1,4.0,"https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z300XWWWY239X124WWWY297XW190WW175WW171WY252XW197WW175WWW&sn=Nobbie%20JTO&obs=gascloud1,gascloud2,gascloud3"
Britton Carr,4,0,32,scumandvillainy,199,27,11,8,5,0,0,4,1,3.0,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z124X99WWW106WY147XW111WWWY153X116WWW53WWWWWY96X&sn=Britton%20Carr%20JTO&obs=
Timo Hetzel,4,0,32,galacticempire,200,24,11,8,5,0,0,4,0,3.0,"https://raithos.github.io/?f=Galactic%20Empire&d=v8ZsZ200Z213XWWY168XWW15WWWY203X122WW97WWW70WW165Y179XWW&sn=Timo%20Hetzel%20JTO&obs=gascloud1,gascloud2,gascloud3"
