name,rank,faction,id,ship,points,upgradecount,uselesscount,uselesscost,upgrade00,upgrade01,upgrade02,upgrade03,upgrade04,upgrade05,upgrade06,upgrade07,upgrade08,upgrade09,agility,hull,shields,attack,initiative,useless00,useless01,useless02,useless03
Cormac Higgins,32,galacticrepublic,swoop,v19torrentstarfighter,33,1,0,0,electronicbaffle,,,,,,,,,,2,5,0,2,3,,,,
Cormac Higgins,32,galacticrepublic,r2d2,btlbywing,51,2,0,0,dorsalturret,protontorpedoes,,,,,,,,,1,5,3,2,2,,,,
Cormac Higgins,32,galacticrepublic,broadside,btlbywing,45,2,0,0,ioncannonturret,clonecommandercody,,,,,,,,,1,5,3,2,3,,,,
Cormac Higgins,32,galacticrepublic,bravoflightofficer,nabooroyaln1starfighter,42,1,0,0,plasmatorpedoes,,,,,,,,,,2,3,2,2,2,,,,
Cormac Higgins,32,galacticrepublic,tucker,v19torrentstarfighter,29,0,0,0,,,,,,,,,,,2,5,0,2,2,,,,
Chris Burnett,32,rebelalliance,norrawexley,arc170starfighter,63,1,0,0,k2so,,,,,,,,,,1,6,3,3,5,,,,
Chris Burnett,32,rebelalliance,lieutenantblount,z95af4headhunter,37,2,0,0,crackshot,concussionmissiles,,,,,,,,,2,2,2,2,4,,,,
Chris Burnett,32,rebelalliance,arvelcrynyd,rz1awing,34,0,0,0,,,,,,,,,,,3,2,2,2,3,,,,
Chris Burnett,32,rebelalliance,rebelscout,hwk290lightfreighter,66,4,0,0,protonbombs,leiaorgana,staticdischargevanes,moldycrow,,,,,,,2,3,2,2,2,,,,
Jamal Ahmad,32,scumandvillainy,crymorahgoon,btla4ywing,44,2,0,0,clustermines,iontorpedoes,,,,,,,,,1,6,2,2,1,,,,
Jamal Ahmad,32,scumandvillainy,tansariipointveteran,m3ainterceptor,41,3,0,0,protonrockets,electronicbaffle,fearless,,,,,,,,3,3,1,2,3,,,,
Jamal Ahmad,32,scumandvillainy,quinnjast,m3ainterceptor,44,1,0,0,protontorpedoes,,,,,,,,,,3,3,1,2,3,,,,
Jamal Ahmad,32,scumandvillainy,overseeryushyn,modifiedtielnfighter,26,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
Jamal Ahmad,32,scumandvillainy,dalanoberos,m12lkimogilafighter,45,0,0,0,,,,,,,,,,,1,7,2,3,3,,,,
Greg Smith,32,rebelalliance,ezrabridger,attackshuttle,43,2,0,0,heightenedperception,phantom,,,,,,,,,2,3,1,3,3,,,,
Greg Smith,32,rebelalliance,roguesquadronescort,ewing,53,0,0,0,,,,,,,,,,,3,3,3,3,4,,,,
Greg Smith,32,rebelalliance,dutchvander,btla4ywing,51,2,0,0,ioncannonturret,r5d8,,,,,,,,,1,6,2,2,4,,,,
Greg Smith,32,rebelalliance,jekporkins,t65xwing,52,2,0,0,r2astromech,servomotorsfoils,,,,,,,,,2,4,2,3,4,,,,
David Chabot,32,galacticrepublic,anakinskywalker-nabooroyaln1starfighter,nabooroyaln1starfighter,58,3,0,0,passivesensors,r4p44,plasmatorpedoes,,,,,,,,2,3,2,2,4,,,,
David Chabot,32,galacticrepublic,sinker,arc170starfighter,59,1,0,0,informant,,,,,,,,,,1,6,3,3,3,,,,
David Chabot,32,galacticrepublic,swoop,v19torrentstarfighter,36,2,1,3,predator,targetingcomputer,,,,,,,,,2,5,0,2,3,targetingcomputer,,,
David Chabot,32,galacticrepublic,dineeellberger,nabooroyaln1starfighter,46,2,0,0,passivesensors,r4p17,,,,,,,,,2,3,2,2,3,,,,
Paul Heaver,32,galacticempire,lieutenantsai,lambdaclasst4ashuttle,65,3,0,0,advancedsensors,directorkrennic,st321,,,,,,,,1,6,4,3,3,,,,
Paul Heaver,32,galacticempire,deathfire,tiesabomber,47,2,0,0,plasmatorpedoes,stealthdevice,,,,,,,,,2,6,0,2,2,,,,
Paul Heaver,32,galacticempire,redline,tiecapunisher,61,1,0,0,plasmatorpedoes,,,,,,,,,,1,6,3,2,5,,,,
Paul Heaver,32,galacticempire,valenrudor,tielnfighter,27,0,0,0,,,,,,,,,,,3,3,0,2,3,,,,
Andreas Karlsson,32,scumandvillainy,ig88c,aggressorassaultfighter,74,5,0,0,crackshot,firecontrolsystem,autoblasters,feedbackarray,ig2000,,,,,,3,5,3,3,4,,,,
Andreas Karlsson,32,scumandvillainy,toranikulda,m12lkimogilafighter,57,2,1,1,snapshot,delayedfuses,,,,,,,,,1,7,2,3,4,delayedfuses,,,
Andreas Karlsson,32,scumandvillainy,captainjostero,kihraxzfighter,42,0,0,0,,,,,,,,,,,2,5,1,3,3,,,,
Andreas Karlsson,32,scumandvillainy,overseeryushyn,modifiedtielnfighter,26,0,0,0,,,,,,,,,,,3,3,0,2,2,,,,
No Pickles,32,galacticrepublic,barrissoffee,delta7aethersprite,38,0,0,0,,,,,,,,,,,3,3,1,2,4,,,,
No Pickles,32,galacticrepublic,saeseetiin,delta7aethersprite,46,1,0,0,calibratedlasertargeting,,,,,,,,,,3,3,1,2,4,,,,
No Pickles,32,galacticrepublic,goldsquadrontrooper,v19torrentstarfighter,29,1,0,0,ionmissiles,,,,,,,,,,2,5,0,2,2,,,,
No Pickles,32,galacticrepublic,goji,btlbywing,32,0,0,0,,,,,,,,,,,1,5,3,2,2,,,,
No Pickles,32,galacticrepublic,wolffe,arc170starfighter,54,1,0,0,novicetechnician,,,,,,,,,,1,6,3,3,4,,,,
Niklas God,32,galacticempire,baronoftheempire,tieadvancedv1,41,2,0,0,collisiondetector,clustermissiles,,,,,,,,,3,2,2,2,3,,,,
Niklas God,32,galacticempire,lieutenantsai,lambdaclasst4ashuttle,54,2,0,0,tractorbeam,st321,,,,,,,,,1,6,4,3,3,,,,
Niklas God,32,galacticempire,majorvynder,alphaclassstarwing,74,5,0,0,advancedsensors,protontorpedoes,ionmissiles,xg1assaultconfiguration,ioncannon,,,,,,2,4,3,2,4,,,,
Niklas God,32,galacticempire,sienarspecialist,tieagaggressor,31,1,0,0,ioncannonturret,,,,,,,,,,2,4,1,2,2,,,,
Tommaso Loss,32,galacticrepublic,r2d2,btlbywing,49,3,0,0,intimidation,ioncannonturret,proximitymines,,,,,,,,1,5,3,2,2,,,,
Tommaso Loss,32,galacticrepublic,broadside,btlbywing,41,1,0,0,ioncannonturret,,,,,,,,,,1,5,3,2,3,,,,
Tommaso Loss,32,galacticrepublic,goldsquadrontrooper,v19torrentstarfighter,25,0,0,0,,,,,,,,,,,2,5,0,2,2,,,,
Tommaso Loss,32,galacticrepublic,bluesquadronprotector,v19torrentstarfighter,27,0,0,0,,,,,,,,,,,2,5,0,2,3,,,,
Tommaso Loss,32,galacticrepublic,goldsquadrontrooper,v19torrentstarfighter,25,0,0,0,,,,,,,,,,,2,5,0,2,2,,,,
Tommaso Loss,32,galacticrepublic,bravoflightofficer,nabooroyaln1starfighter,33,0,0,0,,,,,,,,,,,2,3,2,2,2,,,,
Quentin Keller,32,galacticempire,coloneljendon,lambdaclasst4ashuttle,57,1,0,0,admiralsloane,,,,,,,,,,1,6,4,3,3,,,,
Quentin Keller,32,galacticempire,baronoftheempire,tieadvancedv1,30,0,0,0,,,,,,,,,,,3,2,2,2,3,,,,
Quentin Keller,32,galacticempire,blacksquadronace,tielnfighter,31,2,0,0,intimidation,targetingcomputer,,,,,,,,,3,3,0,2,3,,,,
Quentin Keller,32,galacticempire,scimitarsquadronpilot,tiesabomber,44,3,0,0,magpulsewarheads,protonbombs,connernets,,,,,,,,2,6,0,2,2,,,,
Quentin Keller,32,galacticempire,majorrhymer,tiesabomber,38,1,0,0,ruthless,,,,,,,,,,2,6,0,2,4,,,,
Stephen Parker,32,scumandvillainy,captainnym,scurrgh6bomber,69,4,0,0,ioncannonturret,cikatrovizago,veteranturretgunner,bombletgenerator,,,,,,,1,6,4,3,5,,,,
Stephen Parker,32,scumandvillainy,princexizor,starviperclassattackplatform,63,2,0,0,swarmtactics,collisiondetector,,,,,,,,,3,4,1,3,4,,,,
Stephen Parker,32,scumandvillainy,shadowporthunter,lancerclasspursuitcraft,63,2,0,0,staticdischargevanes,shadowcaster,,,,,,,,,2,8,2,3,2,,,,
Christopher Patrick,32,firstorder,zetasquadronsurvivor,tiesffighter,43,2,0,0,deuteriumpowercells,firecontrolsystem,,,,,,,,,2,3,3,2,2,,,,
Christopher Patrick,32,firstorder,lieutenantlehuse,tiesffighter,49,1,0,0,specialforcesgunner,,,,,,,,,,2,3,3,2,5,,,,
Christopher Patrick,32,firstorder,holo,tiebainterceptor,60,2,0,0,marksmanship,patternanalyzer,,,,,,,,,3,2,2,3,5,,,,
Christopher Patrick,32,firstorder,firstorderprovocateur,tiebainterceptor,46,1,0,0,composure,,,,,,,,,,3,2,2,3,3,,,,
Tim Horsburgh,32,resistance,vimoradi,resistancetransportpod,27,0,0,0,,,,,,,,,,,2,3,1,2,1,,,,
Tim Horsburgh,32,resistance,bluesquadronrookie,t70xwing,42,1,0,0,integratedsfoils,,,,,,,,,,2,4,3,3,1,,,,
Tim Horsburgh,32,resistance,rey,scavengedyt1300,90,3,0,0,c3po-crew,hansolo-crew,finn,,,,,,,,1,8,3,3,5,,,,
Tim Horsburgh,32,resistance,greensquadronexpert,rz2awing,39,1,0,0,patternanalyzer,,,,,,,,,,3,2,2,2,3,,,,
Sebastien Ledieu ,32,firstorder,omegasquadronexpert,tiesffighter,37,1,0,0,elusive,,,,,,,,,,2,3,3,2,3,,,,
Sebastien Ledieu ,32,firstorder,ember,tiebainterceptor,52,0,0,0,,,,,,,,,,,3,2,2,3,4,,,,
Sebastien Ledieu ,32,firstorder,holo,tiebainterceptor,54,0,0,0,,,,,,,,,,,3,2,2,3,5,,,,
Sebastien Ledieu ,32,firstorder,quickdraw,tiesffighter,55,1,0,0,specialforcesgunner,,,,,,,,,,2,3,3,2,6,,,,
Nobbie,32,resistance,greensquadronexpert,rz2awing,34,0,0,0,,,,,,,,,,,3,2,2,2,3,,,,
Nobbie,32,resistance,lulolampar,rz2awing,48,1,0,0,lonewolf,,,,,,,,,,3,2,2,2,5,,,,
Nobbie,32,resistance,temminwexley,t70xwing,59,3,0,0,r2ha,integratedsfoils,blackone,,,,,,,,2,4,3,3,4,,,,
