name,faction,id,ship,points,upgradecount,uselesscount,uselesscost,upgrade00,upgrade01,upgrade02,upgrade03,upgrade04,upgrade05,upgrade06,upgrade07,upgrade08,upgrade09,agility,hull,shields,attack,initiative,useless00,useless01,useless02,useless03
Aaron Czajkowski,firstorder,captainphasma,tiesffighter,41,1,0,0,fanatical,,,,,,,,,,2,3,3,2,4,,,,
Aaron Czajkowski,firstorder,majorstridan,upsilonclassshuttle,70,1,0,0,deuteriumpowercells,,,,,,,,,,1,6,6,4,4,,,,
Aaron Czajkowski,firstorder,omegasquadronexpert,tiesffighter,34,0,0,0,,,,,,,,,,,2,3,3,2,3,,,,
Aaron Czajkowski,firstorder,quickdraw,tiesffighter,55,1,0,0,specialforcesgunner,,,,,,,,,,2,3,3,2,6,,,,
Aaron Daiter,resistance,resistancesympathizer,scavengedyt1300,79,2,0,0,leiaorgana-resistance,inertialdampeners,,,,,,,,,1,8,3,3,2,,,,
Aaron Daiter,resistance,jophseastriker,t70xwing,61,3,0,0,r2ha,integratedsfoils,ferrospherepaint,,,,,,,,2,4,3,3,3,,,,
Aaron Daiter,resistance,covanell,resistancetransport,59,3,0,0,ferrospherepaint,protontorpedoes,r4astromech,,,,,,,,1,5,3,2,4,,,,
Aaron DePiano,galacticrepublic,oddball-arc170starfighter,arc170starfighter,56,2,0,0,crackshot,stealthdevice,,,,,,,,,1,6,3,3,5,,,,
Aaron DePiano,galacticrepublic,saeseetiin,delta7aethersprite,50,1,0,0,c110p,,,,,,,,,,3,3,1,2,4,,,,
Aaron DePiano,galacticrepublic,anakinskywalker-nabooroyaln1starfighter,nabooroyaln1starfighter,48,1,0,0,r2astromech,,,,,,,,,,2,3,2,2,4,,,,
Aaron DePiano,galacticrepublic,104thbattalionpilot,arc170starfighter,42,0,0,0,,,,,,,,,,,1,6,3,3,2,,,,
Aaron Furminger,separatistalliance,berwerkret,nantexclassstarfighter,41,1,0,0,composure,,,,,,,,,,3,4,0,3,5,,,,
Aaron Furminger,separatistalliance,bombardmentdrone,hyenaclassdroidbomber,36,2,1,1,proximitymines,delayedfuses,,,,,,,,,2,5,0,2,3,delayedfuses,,,
Aaron Furminger,separatistalliance,066,sithinfiltrator,65,1,0,0,chancellorpalpatine,,,,,,,,,,1,6,4,3,3,,,,
Aaron Furminger,separatistalliance,separatistbomber,hyenaclassdroidbomber,29,1,0,0,landingstruts,,,,,,,,,,2,5,0,2,3,,,,
Aaron Furminger,separatistalliance,separatistbomber,hyenaclassdroidbomber,28,0,0,0,,,,,,,,,,,2,5,0,2,3,,,,
Aaron Pa_,galacticempire,deltasquadronpilot,tieddefender,67,0,0,0,,,,,,,,,,,3,3,4,3,1,,,,
Aaron Pa_,galacticempire,planetarysentinel,tieskstriker,31,0,0,0,,,,,,,,,,,2,4,0,3,1,,,,
Aaron Pa_,galacticempire,zertikstrom,tieadvancedx1,41,0,0,0,,,,,,,,,,,3,3,2,2,3,,,,
Aaron Pa_,galacticempire,deathrain,tiecapunisher,58,2,0,0,plasmatorpedoes,protonbombs,,,,,,,,,1,6,3,2,4,,,,
Aaron Thatcher,rebelalliance,lowhhrick,auzituckgunship,52,0,0,0,,,,,,,,,,,1,6,2,3,3,,,,
Aaron Thatcher,rebelalliance,greensquadronpilot,rz1awing,32,0,0,0,,,,,,,,,,,3,2,2,2,3,,,,
Aaron Thatcher,rebelalliance,goldsquadronveteran,btla4ywing,49,3,0,0,ioncannonturret,chopper,veteranturretgunner,,,,,,,,1,6,2,2,3,,,,
Aaron Thatcher,rebelalliance,phoenixsquadronpilot,rz1awing,29,0,0,0,,,,,,,,,,,3,2,2,2,1,,,,
