listid,faction,id,ship,points,upgradecount,uselesscount,uselesscost,upgrade00,upgrade01,upgrade02,upgrade03,upgrade04,upgrade05,upgrade06,upgrade07,upgrade08,upgrade09,agility,hull,shields,attack,initiative,useless00,useless01,useless02,useless03,yasb
Almost Brave#2,scumandvillainy,l337-escapecraft,escapecraft,32,3,2,1,cadbane,munitionsfailsafe,crackshot,,,,,,,,2,2,2,2,2,cadbane,munitionsfailsafe,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z95X116W20W108Y85XWWW76WWWW164Y135XWWY93XWW249Y86XWWWWWWW&sn=Random%20Squad&obs=
Armytuba#1,separatistalliance,baktoidprototype,hyenaclassdroidbomber,37,3,2,1,landingstruts,protonrockets,delayedfuses,,,,,,,,2,5,0,2,1,protonrockets,delayedfuses,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z328XWWW237Y329XWW102W236W237Y343X98W208W165Y335XWWWW59W316WWW220Y279XWW&sn=Random%20Squad&obs=
assimilation#1,resistance,r1j5,fireball,37,3,2,5,inertialdampeners,clustermissiles,kazsfireball,,,,,,,,2,6,0,2,1,inertialdampeners,clustermissiles,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z348X178WW108Y349X120W177W243W106Y379X98WW95WWW315Y299XWWW175WWWY300XWWW&sn=Random%20Squad&obs=
bevicadarn#1,resistance,jarekyeager,fireball,56,5,2,1,bb8,concussionmissiles,delayedfuses,juke,kazsfireball,,,,,,2,6,0,2,5,concussionmissiles,delayedfuses,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z377X123W99W195WW236WW315Y380XW6WW165WWY244XWW37WWWWW193Y345XWWW&sn=Random%20Squad&obs=
CatherineNyxsera#2,separatistalliance,separatistdrone,vultureclassdroidfighter,32,3,2,3,grapplingstruts,protonrockets,targetingcomputer,,,,,,,,2,3,0,2,3,protonrockets,targetingcomputer,,,https://raithos.github.io/?f=Separatist%20Alliance&d=v8ZsZ200Z335X116W13W135W217W32W68W103WWY279XWW106Y343X102W208W249Y305XWW164W&sn=Random%20Squad&obs=
designflaw#2,rebelalliance,lothalrebel,vcx100lightfreighter,76,3,2,1,skilledbombardier,delayedfuses,advprotontorpedoes,,,,,,,,0,10,4,4,2,skilledbombardier,delayedfuses,,,https://raithos.github.io/?f=Rebel%20Alliance&d=v8ZsZ200Z72XW17WW2WY64X134WWWWW236W88WY41XWWWWW&sn=Random%20Squad&obs=
direweasel#2,scumandvillainy,hansolo,customizedyt1300lightfreighter,69,4,2,1,jabbathehutt,homingmissiles,delayedfuses,landosmillenniumfalcon,,,,,,,1,8,3,2,6,jabbathehutt,delayedfuses,,,https://raithos.github.io/?f=Scum%20and%20Villainy&d=v8ZsZ200Z89XW100W39WWWW236W152Y142XW66WWWY102XY158XWWWY398XWWW&sn=Random%20Squad&obs=
Dudeseph_____#2,galacticrepublic,sinker,arc170starfighter,77,3,2,3,hotshotgunner,targetingcomputer,protontorpedoes,,,,,,,,1,6,3,3,3,hotshotgunner,targetingcomputer,,,https://raithos.github.io/?f=Galactic%20Republic&d=v8ZsZ200Z317XWW108Y333X116W112WWY280X136WW86WW249Y360XWW234WWWW&sn=Random%20Squad&obs=
Garrett#2,resistance,jarekyeager,fireball,51,6,2,1,r2astromech,deadmansswitch,homingmissiles,delayedfuses,marksmanship,kazsfireball,,,,,2,6,0,2,5,homingmissiles,delayedfuses,,,https://raithos.github.io/?f=Resistance&d=v8ZsZ200Z377X125W100W2W93W236WW315Y378X133WW205W92WW215WY345XWW53W236Y352X206W232W134WW53W196W105&sn=Random%20Squad&obs=
Garrett J#1,firstorder,quickdraw,tiesffighter,56,3,2,1,agilegunner,delayedfuses,firecontrolsystem,,,,,,,,2,3,3,2,6,agilegunner,delayedfuses,,,https://raithos.github.io/?f=First%20Order&d=v8ZsZ200Z238X185W318W37W32WW12W114WY243XWWW76W113W236Y235XWW&sn=Random%20Squad&obs=
